company,slot,role_title,name,linkedin_url,source_url,confidence,why_this_person
Qualcomm,economic_buyer,"Chief Information Officer",UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Chief%20Information%20Officer%20Qualcomm,,SLOT ONLY,"Fortune July 2026 article is cited in the seed but I could not surface the URL. Verify before quoting any name. SD Union-Tribune (Apr 2026 layoff story) implies cost-engineering pressure on whichever CIO is in seat."
Qualcomm,technical_champion,Vice President Platform Engineering,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Vice%20President%20Platform%20Engineering%20Qualcomm,https://www.linkedin.com/jobs/view/agentic-ai-benchmarking-and-evaluation-eng…,SLOT ONLY,LinkedIn agentic-AI benchmarking-engineer posting implies a platform eval team exists; the line manager likely reports into a VP Platform. Verify before outreach.
Qualcomm,program_owner,Head of Agentic Platform Evaluation,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Agentic%20AI%20Platform%20Qualcomm,https://www.linkedin.com/jobs/view/agentic-ai-benchmarking-and-evaluation-eng…,SLOT ONLY,The LinkedIn posting is the only program-owner signal I can surface. Whoever owns the agentic-platform eval team is the natural program owner.
Qualcomm,security_governance,Head of Application Security,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Application%20Security%20Qualcomm,,SLOT ONLY,Air-gapped / firmware-domain work means any agent proposal lands here first. Slot is real; specific title and name are not surfaced in this research pass.
Qualcomm,wildcard,Engineering blog author discussing token spend,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=engineering%20blog%20author%20Qualcomm,,SLOT ONLY,The seed cites a CIO publicly discussing agentic workflows and token spend. If that quote comes from a specific engineer rather than a CIO, it's a wildcard. Source URL still pending.
DaVita,economic_buyer,Chief Information Officer,Madhu Narasimhan,https://www.linkedin.com/in/mnaras/,https://investors.davita.com/2024-05-13-davita-appoints-new-chief-information…,VERIFIED,Investor press release 2024-05-13 named Madhu Narasimhan CIO; LinkedIn profile surfaced in current search. Signs the check on the GCP-migration program.
DaVita,technical_champion,VP Engineering — Healthcare Technology,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=VP%20Engineering%20DaVita,https://careers.davita.com/corporate,SLOT ONLY,Multiple engineering leadership roles implied by DaVita's Corporate careers portal. The Sr Director of Transformation req reports into a senior platform/engineering VP — verify the actual incumbent.
DaVita,program_owner,"Sr Director, Transformation",UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Sr%20Director%20Transformation%20DaVita,https://careers.davita.com/job/R0466819/Sr-Director-of-Transformation,SLOT ONLY,The req itself is live on DaVita's career site 2026-07-06. New leader will be the program owner once seated. Reach Madhu the CIO until they start.
DaVita,security_governance,Chief Information Security Officer,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=CISO%20DaVita,,SLOT ONLY,Healthcare data + GCP migration = HIPAA/CMS review. CISO is the gatekeeper. Slot strong; name not surfaced in this research pass.
DaVita,wildcard,Eng-blog author on revenue-cycle modernization,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=revenue%20cycle%20modernization%20DaVita,,SLOT ONLY,DaVita is a heavy poster of engineering blog content; a specific author could be the wildcard with the lowest authority and highest response rate. Verify before outreach.
ResMed,economic_buyer,Chief Technology Officer,Urvashi Tyagi,https://www.linkedin.com/in/urvashityagi,https://newsroom.resmed.com/news-releases/news-details/2022/ResMed-Welcomes-U…,VERIFIED,ResMed newsroom 2022-02-01 named Urvashi Tyagi CTO; LinkedIn profile surfaced in current search. Bloomberg bio lists her as Former CTO — verify current title before outreach.
ResMed,technical_champion,VP Platform — Connected Devices,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=VP%20Platform%20ResMed,https://careers.resmed.com/,SLOT ONLY,CTO-led platform — Tyagi will have a VP-level platform partner. Verify a specific human exists for that seat.
ResMed,program_owner,Head of Agentic / AI Engineering,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Agentic%20AI%20Engineering%20ResMed,https://www.indeed.com/q-resmed-l-san-diego,-ca-jobs.html,SLOT ONLY,Seed's specific SIGNAL is NO SIGNAL FOUND in this pass. The program owner for traceable/auditable workflows is the slot — but verify a real req / real person exists.
ResMed,security_governance,Head of Information Security (regulated medical device),UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Information%20Security%20ResMed,,SLOT ONLY,Class II/III medical device vendor + FDA-regulated deployment requires Head of InfoSec sign-off. Slot strong; name not surfaced.
ResMed,wildcard,Engineering leader of auditable/traceable workflows,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=traceable%20auditable%20workflows%20ResMed,,SLOT ONLY,The seed's specific claim implies a team building auditable workflows. A specific engineer on that team is the wildcard with the lowest authority and highest response rate. Verify before outreach.
Western Union,economic_buyer,Chief Information Officer,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Chief%20Information%20Officer%20Western%20Union,https://www.hcltech.com/press-releases/western-union-forms-strategic-partners…,SLOT ONLY,HCLTech partnership release 2026-05-14 implies a WU CIO counterpart. WU is publicly traded (NYSE:WU); 10-K has the name. Verify before outreach.
Western Union,technical_champion,VP Payments Engineering,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=VP%20Payments%20Engineering%20Western%20Union,https://www.linkedin.com/jobs/western-union-jobs-denver-co,SLOT ONLY,35 open Denver positions imply a sizable engineering org. VP Payments Engineering is the inferred seat; specific human not surfaced.
Western Union,program_owner,Head of Mainframe / Legacy Modernization,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Mainframe%20Modernization%20Western%20Union,https://www.hcltech.com/mainframe-as400,SLOT ONLY,AS/400 mainframe publicly acknowledged; HCLTech positions this as their service line. Whoever owns the program inside WU is the natural first touch — verify before outreach.
Western Union,security_governance,Chief Information Security Officer,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=CISO%20Western%20Union,,SLOT ONLY,Regulated payments + new SI partnership = governance review is unavoidable. Slot strong, name not surfaced.
Western Union,wildcard,Denver-based engineering manager,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=engineering%20manager%20Western%20Union%20Denver,,SLOT ONLY,35 Denver jobs implies active hiring. A specific engineering manager from a recent req posting is the wildcard. Verify before outreach.
LPL Financial,economic_buyer,Chief Information Officer,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=CIO%20LPL%20Financial,https://profilemagazine.com/2024/cio-tech-beyond-widgets-lpl/,SLOT ONLY,Profile Magazine 2025-06-09 quotes a CIO whose remit is platform modernization. Personal name not in URL — verify before outreach. NYSE-traded; 10-K has the name.
LPL Financial,technical_champion,VP Wealth-Management Platform,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=VP%20Wealth%20Management%20Platform%20LPL,https://www.lpl.com/news-media/press-releases/lpl-financial-continues-to-tran…,SLOT ONLY,2026 Q1 platform transformation press release names the program; the program sponsor is the inferred VP Wealth-Management Platform. Verify.
LPL Financial,program_owner,Head of Hyderabad GCC,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Global%20Capability%20Centre%20LPL%20Financial,https://timesofindia.indiatimes.com/city/hyderabad/lpl-financial-opens-global-capabilit…,SLOT ONLY,Feb 5-6 2026 Hyderabad GCC launch (Times of India + Hubbis). The GCC head will own the platform-modernization budget trajectory from the offshore side.
LPL Financial,security_governance,Chief Information Security Officer (FINRA-broker-dealer),UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=CISO%20LPL%20Financial,,SLOT ONLY,FINRA broker-dealer review = any agent proposal lands with the CISO. Slot strong; name not surfaced.
LPL Financial,wildcard,Profile-Magazine-quoted CIO (currently anonymous),UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=LPL%20Financial%20CIO%20modernization,,SLOT ONLY,The Profile Magazine interview establishes a thought-leader CIO right at LPL. Once the personal name surfaces, this slot is a high-confidence wildcard.
Empower,economic_buyer,Chief Information Officer,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=CIO%20Empower%20Retirement,,SLOT ONLY,Empower is private (Great-West subsidiary of Power Corporation of Canada). Personal name not surfaced via public channels. Verify via leadership page or LinkedIn people-search before outreach.
Empower,technical_champion,VP Engineering — Retirement Platforms,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=VP%20Engineering%20Empower,,SLOT ONLY,Two-decade serial-acquirer cadence (JPM, MassMutual, Putnam, SunTrust, Fifth Third, Prudential, Milliman) implies a senior platform engineering VP. Verify.
Empower,program_owner,Head of Integration (Milliman acquisition),UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Integration%20Empower%20Milliman,https://www.businesswire.com/news/home/20260630508272/en/Empower-to-Acquire-M…,SLOT ONLY,Milliman acquisition announced 2026-06-30 (BusinessWire). Integration lead is the natural first touch once the deal closes.
Empower,security_governance,Chief Information Security Officer (PE-owned retirement),UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=CISO%20Empower%20Retirement,,SLOT ONLY,PE-owned + ERISA-governed retirement recordkeeping ⇒ CISO is the gatekeeper. Slot strong; name not surfaced.
Empower,wildcard,Integration architect on cumulative M&A,UNVERIFIED — use search link,https://www.linkedin.com/search/results/people/?keywords=integration%20architect%20Empower,,SLOT ONLY,Long career inside Empower post-acquisition; specific engineer with M&A-integration scars is the wildcard.
